EMI_TENURE,CREDIT_HISTORY,TRANSACTION_CATEGORY,TRANSACTION_AMOUNT,ACCOUNT_TYPE,ACCOUNT_AGE,STATE,IS_URBAN,IS_STATE_BORDER,HAS_CO_APPLICANT,HAS_GUARANTOR,OWN_REAL_ESTATE,OTHER_INSTALMENT_PLAN,OWN_RESIDENCE,NUMBER_CREDITS,RFM_SCORE,OWN_CAR,SHIP_INTERNATIONAL,IS_DEFAULT
77,EXISTING CREDITS PAID BACK,EDUCATION,27630,UNKNOWN/NONE,above 7 YRS,CT,NO,YES,YES,YES,NO,YES,NO,0,4,NO,NO,No
119,EXISTING CREDITS PAID BACK,ELECTRONICS,31314,above 1000 K USD,4 to 7 YRS,CT,YES,YES,YES,YES,NO,NO,YES,0,3,YES,YES,No
84,EXISTING CREDITS PAID BACK,FURNITURE,27630,above 1000 K USD,4 to 7 YRS,PA,NO,NO,YES,YES,YES,NO,YES,0,3,YES,YES,No
119,DELAY IN PAST,FURNITURE,33156,above 1000 K USD,up to 1 YR,PA,YES,NO,YES,NO,NO,NO,YES,0,3,NO,NO,Yes
105,DELAY IN PAST,FURNITURE,23946,above 1000 K USD,up to 1 YR,CT,NO,YES,YES,YES,YES,YES,NO,0,3,YES,YES,No
91,EXISTING CREDITS PAID BACK,EDUCATION,27630,above 1000 K USD,up to 1 YR,CT,NO,YES,YES,YES,NO,YES,NO,0,4,NO,YES,No
98,EXISTING CREDITS PAID BACK,ELECTRONICS,25788,above 1000 K USD,up to 1 YR,CT,NO,NO,YES,YES,YES,NO,YES,0,3,YES,NO,No
77,EXISTING CREDITS PAID BACK,FURNITURE,31314,above 1000 K USD,4 to 7 YRS,CT,NO,YES,YES,YES,NO,YES,NO,0,4,YES,YES,No
77,EXISTING CREDITS PAID BACK,EDUCATION,29472,above 1000 K USD,up to 1 YR,PA,NO,YES,NO,NO,NO,NO,NO,0,3,NO,YES,No
77,EXISTING CREDITS PAID BACK,FURNITURE,23946,100 to 500 K USD,up to 1 YR,CT,NO,NO,YES,YES,YES,YES,YES,0,4,YES,NO,No
84,DELAY IN PAST,EDUCATION,23946,above 1000 K USD,above 7 YRS,PA,NO,NO,NO,NO,NO,NO,YES,0,4,YES,YES,Yes
49,EXISTING CREDITS PAID BACK,RETRAINING,29472,UNKNOWN/NONE,up to 1 YR,PA,NO,YES,YES,YES,YES,YES,NO,0,3,NO,NO,No
105,EXISTING CREDITS PAID BACK,ELECTRONICS,20262,above 1000 K USD,4 to 7 YRS,CT,YES,NO,NO,NO,NO,NO,YES,0,3,NO,YES,No
98,EXISTING CREDITS PAID BACK,ELECTRONICS,27630,UNKNOWN/NONE,up to 1 YR,CT,NO,YES,NO,YES,NO,NO,YES,0,3,YES,NO,No
84,DELAY IN PAST,FURNITURE,29472,above 1000 K USD,up to 1 YR,CT,NO,NO,NO,YES,NO,NO,YES,0,4,NO,NO,No
98,DELAY IN PAST,FURNITURE,33156,above 1000 K USD,up to 1 YR,CT,NO,YES,YES,YES,NO,NO,NO,0,3,NO,YES,No
77,EXISTING CREDITS PAID BACK,ELECTRONICS,29472,above 1000 K USD,4 to 7 YRS,PA,YES,NO,YES,YES,NO,YES,YES,0,3,NO,NO,Yes
91,ALL CREDITS PAID BACK,EDUCATION,27630,above 1000 K USD,up to 1 YR,CT,YES,NO,YES,YES,NO,NO,YES,0,3,NO,YES,No
91,EXISTING CREDITS PAID BACK,ELECTRONICS,23946,100 to 500 K USD,4 to 7 YRS,CT,NO,YES,NO,YES,YES,YES,YES,0,4,YES,YES,No
84,DELAY IN PAST,FURNITURE,22104,above 1000 K USD,above 7 YRS,PA,YES,NO,NO,NO,YES,NO,YES,0,4,NO,YES,Yes
91,DELAY IN PAST,ELECTRONICS,29472,above 1000 K USD,up to 1 YR,CT,NO,NO,NO,NO,NO,NO,YES,0,3,NO,NO,Yes
84,EXISTING CREDITS PAID BACK,FURNITURE,16578,above 1000 K USD,up to 1 YR,PA,NO,YES,NO,YES,YES,NO,NO,0,4,NO,NO,No
84,DELAY IN PAST,FURNITURE,29472,100 to 500 K USD,up to 1 YR,CT,NO,YES,YES,YES,YES,YES,NO,0,3,YES,YES,No
77,EXISTING CREDITS PAID BACK,FURNITURE,25788,above 1000 K USD,4 to 7 YRS,CT,NO,NO,NO,YES,NO,NO,NO,0,4,YES,NO,No
77,EXISTING CREDITS PAID BACK,FURNITURE,23946,above 1000 K USD,up to 1 YR,CT,NO,NO,YES,YES,NO,NO,NO,0,4,NO,NO,No
70,DELAY IN PAST,EDUCATION,38682,above 1000 K USD,above 7 YRS,CT,NO,YES,NO,YES,NO,NO,NO,0,4,NO,NO,No
91,EXISTING CREDITS PAID BACK,ELECTRONICS,23946,above 1000 K USD,up to 1 YR,CT,NO,NO,YES,YES,YES,YES,YES,0,3,YES,NO,No
70,EXISTING CREDITS PAID BACK,FURNITURE,20262,above 1000 K USD,up to 1 YR,CT,NO,NO,YES,YES,YES,YES,NO,0,3,NO,NO,No
112,EXISTING CREDITS PAID BACK,FURNITURE,20262,above 1000 K USD,up to 1 YR,PA,NO,NO,NO,YES,YES,NO,YES,0,4,NO,NO,No
126,EXISTING CREDITS PAID BACK,USED CAR,18420,above 1000 K USD,up to 1 YR,CT,YES,NO,NO,NO,YES,NO,YES,0,3,NO,YES,No
56,ALL CREDITS PAID BACK,EDUCATION,22104,UNKNOWN/NONE,up to 1 YR,PA,NO,NO,NO,YES,YES,YES,NO,0,4,NO,NO,No
77,DELAY IN PAST,FURNITURE,31314,above 1000 K USD,up to 1 YR,CT,YES,NO,NO,YES,YES,YES,YES,0,4,NO,YES,Yes
70,DELAY IN PAST,FURNITURE,25788,above 1000 K USD,above 7 YRS,PA,YES,NO,NO,NO,YES,NO,YES,0,3,YES,YES,Yes
91,EXISTING CREDITS PAID BACK,FURNITURE,27630,above 1000 K USD,up to 1 YR,PA,NO,NO,NO,NO,NO,YES,YES,0,3,NO,YES,No
84,EXISTING CREDITS PAID BACK,FURNITURE,33156,above 1000 K USD,4 to 7 YRS,CT,NO,NO,YES,YES,NO,YES,YES,0,3,YES,NO,No
105,DELAY IN PAST,ELECTRONICS,27630,UNKNOWN/NONE,up to 1 YR,PA,YES,NO,YES,NO,YES,YES,YES,0,4,NO,NO,Yes
84,DELAY IN PAST,EDUCATION,29472,above 1000 K USD,above 7 YRS,PA,YES,NO,YES,YES,NO,YES,YES,0,4,YES,NO,Yes
105,EXISTING CREDITS PAID BACK,FURNITURE,22104,100 to 500 K USD,up to 1 YR,CT,YES,YES,NO,YES,YES,NO,NO,0,4,NO,NO,No
91,DELAY IN PAST,FURNITURE,23946,UNKNOWN/NONE,up to 1 YR,PA,YES,NO,NO,NO,NO,NO,YES,0,4,NO,YES,Yes
84,EXISTING CREDITS PAID BACK,EDUCATION,38682,UNKNOWN/NONE,up to 1 YR,PA,NO,NO,YES,YES,YES,YES,YES,0,3,YES,YES,No
105,EXISTING CREDITS PAID BACK,FURNITURE,25788,above 1000 K USD,up to 1 YR,CT,NO,YES,YES,YES,YES,YES,NO,0,3,NO,NO,No
77,EXISTING CREDITS PAID BACK,EDUCATION,29472,UNKNOWN/NONE,4 to 7 YRS,PA,NO,NO,YES,NO,NO,YES,YES,0,3,NO,NO,No
105,DELAY IN PAST,FURNITURE,23946,above 1000 K USD,above 7 YRS,PA,YES,NO,NO,YES,YES,YES,YES,0,3,NO,YES,Yes
84,EXISTING CREDITS PAID BACK,FURNITURE,29472,above 1000 K USD,up to 1 YR,PA,NO,NO,YES,YES,NO,NO,NO,0,3,YES,YES,No
77,EXISTING CREDITS PAID BACK,FURNITURE,25788,above 1000 K USD,up to 1 YR,CT,NO,NO,NO,YES,YES,YES,NO,0,4,YES,NO,No
84,EXISTING CREDITS PAID BACK,ELECTRONICS,20262,100 to 500 K USD,up to 1 YR,CT,NO,NO,NO,YES,YES,NO,YES,0,4,NO,NO,No
77,EXISTING CREDITS PAID BACK,ELECTRONICS,23946,100 to 500 K USD,up to 1 YR,CT,NO,NO,NO,YES,NO,NO,NO,0,4,NO,YES,No
98,EXISTING CREDITS PAID BACK,FURNITURE,29472,above 1000 K USD,4 to 7 YRS,CT,NO,NO,YES,NO,YES,NO,YES,0,3,YES,YES,No
105,EXISTING CREDITS PAID BACK,ELECTRONICS,20262,100 to 500 K USD,up to 1 YR,CT,YES,NO,YES,YES,NO,NO,YES,0,4,NO,NO,No
70,EXISTING CREDITS PAID BACK,EDUCATION,23946,above 1000 K USD,up to 1 YR,PA,NO,NO,YES,YES,YES,YES,NO,0,4,NO,NO,No
105,ALL CREDITS PAID BACK,EDUCATION,34998,100 to 500 K USD,up to 1 YR,CT,NO,NO,YES,YES,YES,NO,NO,0,3,YES,YES,No
77,EXISTING CREDITS PAID BACK,FURNITURE,25788,above 1000 K USD,up to 1 YR,PA,NO,NO,YES,YES,YES,YES,YES,0,3,NO,NO,No
98,DELAY IN PAST,FURNITURE,31314,above 1000 K USD,up to 1 YR,PA,YES,NO,YES,NO,NO,YES,YES,0,3,NO,NO,Yes
77,EXISTING CREDITS PAID BACK,ELECTRONICS,20262,above 1000 K USD,4 to 7 YRS,CT,NO,NO,NO,NO,YES,YES,NO,0,3,YES,NO,No
84,EXISTING CREDITS PAID BACK,ELECTRONICS,22104,above 1000 K USD,up to 1 YR,PA,YES,NO,NO,NO,NO,YES,YES,0,4,NO,NO,Yes
105,EXISTING CREDITS PAID BACK,FURNITURE,29472,above 1000 K USD,up to 1 YR,CT,YES,NO,NO,YES,NO,NO,YES,0,3,YES,NO,No
105,DELAY IN PAST,EDUCATION,31314,above 1000 K USD,above 7 YRS,CT,YES,NO,YES,NO,NO,YES,YES,0,3,NO,YES,Yes
112,DELAY IN PAST,ELECTRONICS,25788,100 to 500 K USD,above 7 YRS,PA,NO,NO,YES,YES,YES,YES,YES,0,3,NO,YES,Yes
77,EXISTING CREDITS PAID BACK,FURNITURE,20262,above 1000 K USD,up to 1 YR,CT,NO,YES,NO,YES,YES,YES,NO,0,3,NO,NO,No
63,ALL CREDITS PAID BACK,EDUCATION,25788,above 1000 K USD,up to 1 YR,PA,NO,NO,YES,YES,YES,NO,YES,0,4,YES,NO,No
70,EXISTING CREDITS PAID BACK,FURNITURE,22104,above 1000 K USD,up to 1 YR,PA,NO,NO,YES,NO,NO,YES,YES,0,3,YES,NO,Yes
105,EXISTING CREDITS PAID BACK,ELECTRONICS,27630,above 1000 K USD,4 to 7 YRS,CT,NO,YES,YES,YES,NO,NO,YES,0,3,YES,YES,No
77,DELAY IN PAST,EDUCATION,25788,above 1000 K USD,above 7 YRS,PA,YES,NO,NO,YES,YES,NO,YES,0,4,YES,YES,Yes
84,DELAY IN PAST,FURNITURE,23946,above 1000 K USD,up to 1 YR,CT,NO,NO,YES,YES,YES,YES,NO,0,3,YES,NO,No
98,EXISTING CREDITS PAID BACK,FURNITURE,34998,above 1000 K USD,up to 1 YR,NY,NO,NO,YES,YES,YES,NO,YES,0,4,YES,NO,No
84,DELAY IN PAST,ELECTRONICS,25788,above 1000 K USD,above 7 YRS,PA,NO,NO,YES,NO,NO,YES,YES,0,4,NO,NO,Yes
105,EXISTING CREDITS PAID BACK,ELECTRONICS,12894,above 1000 K USD,4 to 7 YRS,CT,YES,NO,NO,NO,YES,YES,NO,0,3,YES,NO,No
77,EXISTING CREDITS PAID BACK,EDUCATION,31314,above 1000 K USD,up to 1 YR,CT,NO,YES,YES,YES,NO,YES,NO,0,4,YES,NO,No
70,EXISTING CREDITS PAID BACK,RETRAINING,29472,UNKNOWN/NONE,4 to 7 YRS,PA,NO,NO,YES,NO,YES,YES,NO,0,3,NO,NO,No
84,EXISTING CREDITS PAID BACK,FURNITURE,27630,above 1000 K USD,up to 1 YR,CT,NO,YES,YES,YES,YES,YES,NO,0,3,YES,NO,No
77,DELAY IN PAST,FURNITURE,29472,100 to 500 K USD,up to 1 YR,CT,NO,YES,NO,YES,NO,NO,NO,0,4,YES,YES,No
105,DELAY IN PAST,USED CAR,25788,above 1000 K USD,up to 1 YR,PA,YES,NO,YES,YES,NO,YES,YES,0,4,YES,NO,Yes
119,DELAY IN PAST,ELECTRONICS,22104,above 1000 K USD,up to 1 YR,CT,YES,NO,YES,YES,NO,YES,YES,0,3,YES,YES,No
98,DELAY IN PAST,FURNITURE,25788,UNKNOWN/NONE,up to 1 YR,PA,NO,NO,YES,YES,YES,YES,YES,0,4,NO,NO,Yes
84,EXISTING CREDITS PAID BACK,FURNITURE,25788,above 1000 K USD,up to 1 YR,CT,NO,YES,YES,YES,YES,YES,NO,0,3,YES,YES,No
